Front,Back
I arrive now.,Ich komme jetzt an.
I leave now.,Ich gehe jetzt weg.
I continue.,Ich mache weiter.
I stop here.,Ich höre hier auf.
I return.,Ich komme zurück.
I want to arrive now.,Ich will jetzt ankommen.
I have to leave now.,Ich muss jetzt weggehen.
I can continue.,Ich kann weitermachen.
I want to stop here.,Ich will hier aufhören.
I can return.,Ich kann zurückkommen.
I arrive …,Ich komme … an
I leave …,Ich gehe … weg
I continue …,Ich mache … weiter
I stop …,Ich höre … auf
I return …,Ich komme … zurück
