Front,Back
I want to see that.,Ich will das sehen.
I can hear you.,Ich kann dich hören.
I speak German.,Ich spreche Deutsch.
I have to ask you.,Ich muss dich fragen.
I’ll answer later.,Ich antworte später.
I see that.,Ich sehe das.
I hear you.,Ich höre dich.
I want to speak German.,Ich will Deutsch sprechen.
I can answer later.,Ich kann später antworten.
I don’t know.,Ich weiß nicht.
I see …,Ich sehe …
I hear …,Ich höre …
I speak …,Ich spreche …
I ask …,Ich frage …
I answer …,Ich antworte …
